id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58735E4942,3,3,2,3,3
100mN58735E4943,3,3,2,3,3
100mN58736E4937,3,3,2,3,3
100mN58736E4938,3,3,2,3,3
100mN58736E4939,3,3,2,3,3
100mN58736E4940,3,3,2,3,3
100mN58736E4941,3,3,2,3,3
100mN58736E4942,3,3,2,3,3
100mN58736E4943,3,3,2,3,3
100mN58737E4930,3,3,2,3,3
100mN58737E4931,3,3,2,3,3
100mN58737E4932,3,3,2,3,3
100mN58737E4933,3,3,2,3,3
100mN58737E4934,3,3,2,3,3
100mN58737E4935,3,3,2,3,3
100mN58737E4936,3,3,2,3,3
100mN58737E4937,3,3,2,3,3
100mN58737E4938,3,3,2,3,3
100mN58737E4939,3,3,2,3,3
100mN58737E4940,3,3,2,3,3
100mN58737E4941,3,3,2,3,3
100mN58737E4942,3,3,2,3,3
100mN58737E4943,3,3,2,3,3
100mN58737E4944,3,3,2,3,3
100mN58737E4945,3,3,2,3,3
100mN58737E4946,3,3,2,3,3
100mN58737E4951,3,3,2,3,3
100mN58738E4929,3,3,2,3,3
100mN58738E4930,3,3,2,3,3
100mN58738E4931,3,3,2,3,3
100mN58738E4932,3,3,2,3,3
100mN58738E4933,3,3,2,3,3
100mN58738E4934,3,3,2,3,3
100mN58738E4935,3,3,2,3,3
100mN58738E4936,3,3,2,3,3
100mN58738E4937,3,3,2,3,3
100mN58738E4938,3,3,2,3,3
100mN58738E4939,3,3,2,3,3
100mN58738E4940,3,3,2,3,3
100mN58738E4941,3,3,2,3,3
100mN58738E4942,3,3,2,3,3
100mN58738E4943,3,3,2,3,3
100mN58738E4944,3,3,2,3,3
100mN58738E4945,3,3,2,3,3
100mN58738E4946,3,3,2,3,3
100mN58738E4947,3,3,2,3,3
100mN58738E4949,3,3,2,3,3
100mN58738E4950,3,3,2,3,3
100mN58738E4951,3,3,2,3,3
100mN58738E4952,3,3,2,3,3
100mN58738E4953,3,3,2,3,3
100mN58738E4954,3,3,2,3,3
100mN58738E4955,3,3,2,3,3
100mN58738E4956,3,3,2,3,3
100mN58739E4927,3,3,2,3,3
100mN58739E4928,3,3,2,3,3
100mN58739E4929,3,3,2,3,3
100mN58739E4930,3,3,2,3,3
100mN58739E4931,3,3,2,3,3
100mN58739E4932,3,3,2,3,3
100mN58739E4933,3,3,2,3,3
100mN58739E4934,3,3,2,3,3
100mN58739E4935,3,3,2,3,3
100mN58739E4936,3,3,2,3,3
100mN58739E4937,3,3,2,3,3
100mN58739E4938,3,3,2,3,3
100mN58739E4939,3,3,2,3,3
100mN58739E4940,3,3,2,3,3
100mN58739E4941,3,3,2,3,3
100mN58739E4942,3,3,2,3,3
100mN58739E4943,3,3,2,3,3
100mN58739E4944,3,3,2,3,3
100mN58739E4945,3,3,2,3,3
100mN58739E4946,3,3,2,3,3
100mN58739E4947,3,3,2,3,3
100mN58739E4948,3,3,2,3,3
100mN58739E4949,3,3,2,3,3
100mN58739E4950,3,3,2,3,3
100mN58739E4951,3,3,2,3,3
100mN58739E4952,3,3,2,3,3
100mN58739E4953,3,3,2,3,3
100mN58739E4954,3,3,2,3,3
